loss,accuracy,f1_score,roc_auc,average_precision,val_loss,val_accuracy,val_f1_score,val_roc_auc,val_average_precision,lr
1.5548995733261108,0.6118219494819641,0.5028948783874512,0.788253128528595,0.6497636437416077,1.2816812992095947,0.5427887439727783,0.06634335219860077,0.7924156188964844,0.5226892232894897,0.00035
0.9602441787719727,0.6337448358535767,0.5785194635391235,0.8024658560752869,0.6832739114761353,0.8943684101104736,0.6343507170677185,0.5035661458969116,0.8001896739006042,0.6732125282287598,0.00035
0.8129134178161621,0.6352413296699524,0.587506890296936,0.8052802085876465,0.6875231266021729,0.7803152203559875,0.6424297094345093,0.5690839886665344,0.8067319393157959,0.6831086277961731,0.00035
0.7638857960700989,0.6412270665168762,0.5957952737808228,0.8078556060791016,0.6917638182640076,0.7572441697120667,0.6259724497795105,0.5873831510543823,0.8000614047050476,0.6830973625183105,0.00035
0.7462371587753296,0.6424242258071899,0.5978665947914124,0.8076102137565613,0.6909846663475037,0.7369025945663452,0.646319568157196,0.6099834442138672,0.8079099059104919,0.6876503825187683,0.00035
0.7366659045219421,0.639581024646759,0.5952202677726746,0.8072579503059387,0.6919295787811279,0.7293280363082886,0.6391382217407227,0.6013797521591187,0.8049677014350891,0.691867470741272,0.0003166931
0.7292582988739014,0.6463898420333862,0.6035950779914856,0.8103675842285156,0.6951557397842407,0.7185030579566956,0.6457211375236511,0.6017767786979675,0.8062694072723389,0.6942676305770874,0.00028655576
0.7248017191886902,0.6498316526412964,0.6126570105552673,0.8115403652191162,0.6982525587081909,0.7197113037109375,0.62776780128479,0.5791316628456116,0.8053268790245056,0.6877402067184448,0.00025928637
0.7218790054321289,0.6464646458625793,0.6098997592926025,0.8121277689933777,0.7000004053115845,0.7304937839508057,0.6373429298400879,0.5879840850830078,0.8040702939033508,0.6807796955108643,0.00023461202
0.7198377251625061,0.6472876667976379,0.6081506609916687,0.8123356699943542,0.7001557350158691,0.7187052369117737,0.6466187834739685,0.6033136248588562,0.8078154921531677,0.688971221446991,0.00021228574
0.7166669368743896,0.6486344933509827,0.608750581741333,0.8142227530479431,0.7026405334472656,0.7240114212036133,0.6472172141075134,0.6089009642601013,0.8047650456428528,0.6890946626663208,0.00019208409
0.7169719934463501,0.6484100222587585,0.609853208065033,0.813952624797821,0.7019044756889343,0.7214476466178894,0.6457211375236511,0.607266366481781,0.8044779896736145,0.688525915145874,0.00017380487
